average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
winnowingNormalizedShingle2Overlap, 0.0, 2.0, 0.0, 8.0, 6.0, no result, 0.0, 0.0, 0.0, 3.0
winnowingNormalizedShingle2Jaccard, 0.0, 2.0, 0.0, 8.0, 6.0, no result, 0.0, 0.0, 0.0, 3.0
rkrGst5GramOverlapMinMatchLength3, 0.0, 39.0, 6.0, 385.0, 3111.0, 131.0, 4.0, 3.0, 9.0, 299.0
rkrGstShingle3DiceMinMatchLength3, 0.0, no result, 0.0, 26.0, 22.0, no result, 0.0, 0.0, 0.0, no result
cosineNormalized2GramsBool, 0.0, 4.0, 0.0, 12.0, 7.0, 4.0, 0.0, 0.0, 1.0, 5.0
winnowingShingle2Overlap, 0.0, 1.0, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
jaccardShingles2, 0.0, 1.0, 0.0, 6.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
rkrGstTokenDiceVariantMinMatchLength3, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
cosineNormalized4GramsTermFrequency, 0.0, 5.0, 0.0, 15.0, 11.0, 6.0, 0.0, 0.0, 1.0, 7.0
winnowingTokenDice, 0.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0
rkrGst4GramDiceVariantMinMatchLength2, 0.0, 35.0, 5.0, 349.0, 2980.0, 142.0, 4.0, 3.0, 9.0, 278.0
rkrGst2GramOverlapMinMatchLength2, 0.0, 33.0, 4.0, 265.0, 1097.0, 164.0, 3.0, 2.0, 7.0, 242.0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0.0, 2.0, 0.0, 16.0, 12.0, 6.0, 0.0, 0.0, 0.0, 6.0
rkrGstNormalized5GramOverlapMinMatchLength1, 0.0, 27.0, 2.0, 159.0, 363.0, 41.0, 2.0, 1.0, 4.0, 138.0
rkrGstNormalized2GramDiceMinMatchLength2, 0.0, 20.0, 2.0, 125.0, 319.0, 32.0, 2.0, 1.0, 4.0, 142.0
diceNormalized3Grams, 0.0, 3.0, 0.0, 9.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0
winnowing4GramJaccard, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
overlapTokens, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0
rkrGst2GramDiceMinMatchLength1, 0.0, 34.0, 5.0, 282.0, 1152.0, 176.0, 3.0, 2.0, 8.0, 271.0
rkrGst3GramDiceMinMatchLength2, 0.0, 35.0, 5.0, 295.0, 2216.0, 141.0, 4.0, 3.0, 8.0, 272.0
jaccardNormalizedShingles3, 0.0, 2.0, 0.0, 10.0, 7.0, no result, 0.0, 0.0, 0.0, no result
winnowing2GramOverlap, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
jaccardNormalizedShingles2, 0.0, 3.0, 0.0, 11.0, 8.0, no result, 0.0, 0.0, 0.0, 4.0
rkrGstTokenOverlapMinMatchLength3, 0.0, 1.0, 0.0, 17.0, 13.0, 5.0, 0.0, 0.0, 0.0, 6.0
levenshteinStandard, 0.0, 5.0, 0.0, 93.0, 256.0, 21.0, 1.0, 0.0, 4.0, 53.0
winnowingNormalized5GramDice, 0.0, 3.0, 0.0, 10.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
winnowingNormalizedShingle2Dice, 0.0, 2.0, 0.0, 8.0, 6.0, no result, 0.0, 0.0, 0.0, 3.0
rkrGstShingle3DiceVariantMinMatchLength1, 0.0, no result, 0.0, 28.0, 24.0, no result, 0.0, 0.0, 1.0, no result
rkrGstNormalized2GramJaccardMinMatchLength3, 0.0, 22.0, 2.0, 127.0, 409.0, 50.0, 2.0, 1.0, 4.0, 165.0
longestCommonSubsequence5GramFingerprint, 0.0, 2.0, 0.0, 13.0, 19.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGst3GramOverlapMinMatchLength2, 0.0, 40.0, 6.0, 328.0, 2290.0, 142.0, 4.0, 3.0, 8.0, 286.0
rkrGstNormalized4GramDiceVariantMinMatchLength2, 0.0, 24.0, 2.0, 148.0, 341.0, 36.0, 2.0, 1.0, 4.0, 129.0
winnowing3GramOverlap, 0.0, 2.0, 0.0, 9.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
diceNormalizedTokens, 0.0, 1.0, 0.0, 4.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0
winnowingNormalized2GramJaccard, 0.0, 3.0, 0.0, 10.0, 9.0, 3.0, 0.0, 0.0, 0.0, 5.0
rkrGstShingle2DiceMinMatchLength3, 0.0, 2.0, 0.0, 23.0, 18.0, no result, 0.0, 0.0, 0.0, 9.0
jaccardNormalizedPadding5grams, 0.0, 3.0, 0.0, 11.0, 8.0, 4.0, 0.0, 0.0, 0.0, 5.0
diceVariantNormalized5Grams, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalizedShingle3DiceVariantMinMatchLength3, 0.0, 4.0, 0.0, 28.0, 26.0, no result, 0.0, 0.0, 1.0, no result
diceVariantNormalizedPadding4grams, 0.0, 3.0, 0.0, 10.0, 8.0, 3.0, 0.0, 0.0, 0.0, 5.0
diceVariantShingles2, 0.0, 1.0, 0.0, 5.0, 4.0, no result, 0.0, 0.0, 0.0, 2.0
